 dma_test_m2m 0 0x3000c000 0x30008000 0x400 0,FAIL : fail,20180728-092848
 dma_test_m2m 0 0x3000c000 0x30008000 0x400 1,FAIL : fail,20180728-092850
 dma_test_m2m 0 0x3000c000 0x30008000 0x800 0,FAIL : fail,20180728-092851
 dma_test_m2m 0 0x3000c000 0x30008000 0x800 1,FAIL : fail,20180728-092854
 dma_test_m2m 0 0x3000c000 0x30030000 0x400 0,FAIL : fail,20180728-092855
 dma_test_m2m 0 0x3000c000 0x30030000 0x400 1,FAIL : fail,20180728-092857
 dma_test_m2m 0 0x3000c000 0x30030000 0x800 0,FAIL : fail,20180728-092858
 dma_test_m2m 0 0x3000c000 0x30030000 0x800 1,FAIL : fail,20180728-092900
 dma_test_m2m 0 0x3000c000 0x300207c8 0x400 0,FAIL : fail,20180728-092901
 dma_test_m2m 0 0x3000c000 0x300207c8 0x400 1,FAIL : fail,20180728-092902
 dma_test_m2m 0 0x3000c000 0x300207c8 0x800 0,FAIL : fail,20180728-092902
 dma_test_m2m 0 0x3000c000 0x300207c8 0x800 1,FAIL : fail,20180728-092904
 dma_test_m2m 0 0x3000c000 0x50008000 0x400 0,FAIL : fail,20180728-092904
 dma_test_m2m 0 0x3000c000 0x50008000 0x400 1,FAIL : fail,20180728-092906
 dma_test_m2m 0 0x3000c000 0x50008000 0x800 0,FAIL : fail,20180728-092906
 dma_test_m2m 0 0x3000c000 0x50008000 0x800 1,FAIL : fail,20180728-092908
 dma_test_m2m 0 0x3000c000 0x50030000 0x400 0,FAIL : fail,20180728-092908
 dma_test_m2m 0 0x3000c000 0x50030000 0x400 1,FAIL : fail,20180728-092910
 dma_test_m2m 0 0x3000c000 0x50030000 0x800 0,FAIL : fail,20180728-092910
 dma_test_m2m 0 0x3000c000 0x50030000 0x800 1,FAIL : fail,20180728-092912
 dma_test_m2m 0 0x3000c000 0x500207c8 0x400 0,FAIL : fail,20180728-092912
 dma_test_m2m 0 0x3000c000 0x500207c8 0x400 1,FAIL : fail,20180728-092913
 dma_test_m2m 0 0x3000c000 0x500207c8 0x800 0,FAIL : fail,20180728-092914
 dma_test_m2m 0 0x3000c000 0x500207c8 0x800 1,FAIL : fail,20180728-092916
 dma_test_m2m 0 0x3000c000 0x6015b4c8 0x400 0,FAIL : fail,20180728-092916
 dma_test_m2m 0 0x3000c000 0x6015b4c8 0x400 1,FAIL : fail,20180728-092917
 dma_test_m2m 0 0x3000c000 0x6015b4c8 0x800 0,FAIL : fail,20180728-092917
 dma_test_m2m 0 0x3000c000 0x6015b4c8 0x800 1,FAIL : fail,20180728-092920
 dma_test_m2m 0 0x30034000 0x30008000 0x400 0,FAIL : fail,20180728-092920
 dma_test_m2m 0 0x30034000 0x30008000 0x400 1,FAIL : fail,20180728-092921
 dma_test_m2m 0 0x30034000 0x30008000 0x800 0,FAIL : fail,20180728-092921
 dma_test_m2m 0 0x30034000 0x30008000 0x800 1,FAIL : fail,20180728-092924
 dma_test_m2m 0 0x30034000 0x30030000 0x400 0,FAIL : fail,20180728-092924
 dma_test_m2m 0 0x30034000 0x30030000 0x400 1,FAIL : fail,20180728-092925
 dma_test_m2m 0 0x30034000 0x30030000 0x800 0,FAIL : fail,20180728-092925
 dma_test_m2m 0 0x30034000 0x30030000 0x800 1,FAIL : fail,20180728-092927
 dma_test_m2m 0 0x30034000 0x300207c8 0x400 0,FAIL : fail,20180728-092928
 dma_test_m2m 0 0x30034000 0x300207c8 0x400 1,FAIL : fail,20180728-092929
 dma_test_m2m 0 0x30034000 0x300207c8 0x800 0,FAIL : fail,20180728-092929
 dma_test_m2m 0 0x30034000 0x300207c8 0x800 1,FAIL : fail,20180728-092931
 dma_test_m2m 0 0x30034000 0x50008000 0x400 0,FAIL : fail,20180728-092932
 dma_test_m2m 0 0x30034000 0x50008000 0x400 1,FAIL : fail,20180728-092933
 dma_test_m2m 0 0x30034000 0x50008000 0x800 0,FAIL : fail,20180728-092933
 dma_test_m2m 0 0x30034000 0x50008000 0x800 1,FAIL : fail,20180728-092935
 dma_test_m2m 0 0x30034000 0x50030000 0x400 0,FAIL : fail,20180728-092935
 dma_test_m2m 0 0x30034000 0x50030000 0x400 1,FAIL : fail,20180728-092937
 dma_test_m2m 0 0x30034000 0x50030000 0x800 0,FAIL : fail,20180728-092937
 dma_test_m2m 0 0x30034000 0x50030000 0x800 1,FAIL : fail,20180728-092939
 dma_test_m2m 0 0x30034000 0x500207c8 0x400 0,FAIL : fail,20180728-092939
 dma_test_m2m 0 0x30034000 0x500207c8 0x400 1,FAIL : fail,20180728-092940
 dma_test_m2m 0 0x30034000 0x500207c8 0x800 0,FAIL : fail,20180728-092941
 dma_test_m2m 0 0x30034000 0x500207c8 0x800 1,FAIL : fail,20180728-092943
 dma_test_m2m 0 0x30034000 0x6015b4c8 0x400 0,FAIL : fail,20180728-092943
 dma_test_m2m 0 0x30034000 0x6015b4c8 0x400 1,FAIL : fail,20180728-092959
 dma_test_m2m 0 0x30034000 0x6015b4c8 0x800 0,FAIL : fail,20180728-092959
 dma_test_m2m 0 0x30034000 0x6015b4c8 0x800 1,FAIL : fail,20180728-093001
 dma_test_m2m 0 0x300283e4 0x30008000 0x400 0,FAIL : fail,20180728-093001
 dma_test_m2m 0 0x300283e4 0x30008000 0x400 1,FAIL : fail,20180728-093003
 dma_test_m2m 0 0x300283e4 0x30008000 0x800 0,FAIL : fail,20180728-093003
 dma_test_m2m 0 0x300283e4 0x30008000 0x800 1,FAIL : fail,20180728-093005
 dma_test_m2m 0 0x300283e4 0x30030000 0x400 0,FAIL : fail,20180728-093005
 dma_test_m2m 0 0x300283e4 0x30030000 0x400 1,FAIL : fail,20180728-093008
 dma_test_m2m 0 0x300283e4 0x30030000 0x800 0,FAIL : fail,20180728-093009
 dma_test_m2m 0 0x300283e4 0x30030000 0x800 1,FAIL : fail,20180728-093011
 dma_test_m2m 0 0x300283e4 0x300207c8 0x400 0,FAIL : fail,20180728-093011
 dma_test_m2m 0 0x300283e4 0x300207c8 0x400 1,FAIL : fail,20180728-093012
 dma_test_m2m 0 0x300283e4 0x300207c8 0x800 0,FAIL : fail,20180728-093012
 dma_test_m2m 0 0x300283e4 0x300207c8 0x800 1,FAIL : fail,20180728-093015
 dma_test_m2m 0 0x300283e4 0x50008000 0x400 0,FAIL : fail,20180728-093015
 dma_test_m2m 0 0x300283e4 0x50008000 0x400 1,FAIL : fail,20180728-093016
 dma_test_m2m 0 0x300283e4 0x50008000 0x800 0,FAIL : fail,20180728-093016
 dma_test_m2m 0 0x300283e4 0x50008000 0x800 1,FAIL : fail,20180728-093019
 dma_test_m2m 0 0x300283e4 0x50030000 0x400 0,FAIL : fail,20180728-093019
 dma_test_m2m 0 0x300283e4 0x50030000 0x400 1,FAIL : fail,20180728-093020
 dma_test_m2m 0 0x300283e4 0x50030000 0x800 0,FAIL : fail,20180728-093020
 dma_test_m2m 0 0x300283e4 0x50030000 0x800 1,FAIL : fail,20180728-093022
 dma_test_m2m 0 0x300283e4 0x500207c8 0x400 0,FAIL : fail,20180728-093023
 dma_test_m2m 0 0x300283e4 0x500207c8 0x400 1,FAIL : fail,20180728-093024
 dma_test_m2m 0 0x300283e4 0x500207c8 0x800 0,FAIL : fail,20180728-093024
 dma_test_m2m 0 0x300283e4 0x500207c8 0x800 1,FAIL : fail,20180728-093026
 dma_test_m2m 0 0x300283e4 0x6015b4c8 0x400 0,FAIL : fail,20180728-093026
 dma_test_m2m 0 0x300283e4 0x6015b4c8 0x400 1,FAIL : fail,20180728-093028
 dma_test_m2m 0 0x300283e4 0x6015b4c8 0x800 0,FAIL : fail,20180728-093028
 dma_test_m2m 0 0x300283e4 0x6015b4c8 0x800 1,FAIL : fail,20180728-093030
 dma_test_m2m 0 0x5000c000 0x30008000 0x400 0,FAIL : fail,20180728-093030
 dma_test_m2m 0 0x5000c000 0x30008000 0x400 1,FAIL : fail,20180728-093032
 dma_test_m2m 0 0x5000c000 0x30008000 0x800 0,FAIL : fail,20180728-093032
 dma_test_m2m 0 0x5000c000 0x30008000 0x800 1,FAIL : fail,20180728-093034
 dma_test_m2m 0 0x5000c000 0x30030000 0x400 0,FAIL : fail,20180728-093034
 dma_test_m2m 0 0x5000c000 0x30030000 0x400 1,FAIL : fail,20180728-093035
 dma_test_m2m 0 0x5000c000 0x30030000 0x800 0,FAIL : fail,20180728-093036
 dma_test_m2m 0 0x5000c000 0x30030000 0x800 1,FAIL : fail,20180728-093038
 dma_test_m2m 0 0x5000c000 0x300207c8 0x400 0,FAIL : fail,20180728-093038
 dma_test_m2m 0 0x5000c000 0x300207c8 0x400 1,FAIL : fail,20180728-093039
 dma_test_m2m 0 0x5000c000 0x300207c8 0x800 0,FAIL : fail,20180728-093039
 dma_test_m2m 0 0x5000c000 0x300207c8 0x800 1,FAIL : fail,20180728-093042
gpio_input 0, 1 0,FAIL : fail,20180728-093054
gpio_input 0 0 0,FAIL : fail,20180728-093055
 dma_test_m2m 0 0x3000c000 0x30008000 0x400 0,FAIL : fail,20180728-134626
 i2s_test_loopback 0 2 0 0 16 1 0 0 1024,FAIL : fail,20180728-134731
 i2s_test_loopback 0 2 0 0 16 1 1 0 1024,FAIL : fail,20180728-134940
 i2s_test_loopback 0 2 0 0 16 1 1 0 2048,FAIL : fail,20180728-134942
 i2s_test_loopback 0 2 0 0 24 1 1 0 1024,FAIL : fail,20180728-134942
 i2s_test_loopback 0 2 0 0 24 1 1 0 2048,FAIL : fail,20180728-134944
 i2s_test_loopback 0 2 0 0 32 1 1 0 1024,FAIL : fail,20180728-134944
 i2s_test_loopback 0 2 0 0 32 1 1 0 2048,FAIL : fail,20180728-134946
 i2s_test_loopback 0 2 0 1 16 1 1 0 1024,FAIL : fail,20180728-134946
 i2s_test_loopback 0 2 0 1 16 1 1 0 2048,FAIL : fail,20180728-134948
 i2s_test_loopback 0 2 0 1 24 1 1 0 1024,FAIL : fail,20180728-134948
 i2s_test_loopback 0 2 0 1 24 1 1 0 2048,FAIL : fail,20180728-134950
 i2s_test_loopback 0 2 0 1 32 1 1 0 1024,FAIL : fail,20180728-134950
 i2s_test_loopback 0 2 0 1 32 1 1 0 2048,FAIL : fail,20180728-134952
 i2s_test_loopback 0 2 1 0 24 1 1 0 1024,FAIL : fail,20180728-134955
 i2s_test_loopback 0 2 1 0 24 1 1 0 2048,FAIL : fail,20180728-134956
 i2s_test_loopback 0 2 1 0 32 1 1 0 1024,FAIL : fail,20180728-134956
 i2s_test_loopback 0 2 1 0 32 1 1 0 2048,FAIL : fail,20180728-134958
 i2s_test_loopback 0 2 1 1 16 1 1 0 1024,FAIL : fail,20180728-134958
 i2s_test_loopback 0 2 1 1 16 1 1 0 2048,FAIL : fail,20180728-135000
 i2s_test_loopback 0 2 1 1 24 1 1 0 1024,FAIL : fail,20180728-135000
 i2s_test_loopback 0 2 1 1 24 1 1 0 2048,FAIL : fail,20180728-135002
 i2s_test_loopback 0 2 1 1 32 1 1 0 1024,FAIL : fail,20180728-135002
 i2s_test_loopback 0 2 1 1 32 1 1 0 2048,FAIL : fail,20180728-135004
 dma_test_m2m 0 0x300283e4 0x30008000 0x800 0,FAIL : fail,20180729-161943
 dma_test_m2m 0 0x300283e4 0x30030000 0x800 0,FAIL : fail,20180729-161945
 dma_test_m2m 0 0x300283e4 0x300207c8 0x800 0,FAIL : fail,20180729-161946
 dma_test_m2m 0 0x300283e4 0x50008000 0x800 0,FAIL : fail,20180729-161947
 dma_test_m2m 0 0x300283e4 0x50030000 0x800 0,FAIL : fail,20180729-161949
